f_id,o_id
2771,2396
5901,15
7846,1418
14551,3
3064,621
1165,19
11725,2974
9618,116
8926,417
4532,5868
5462,1410
7391,392
4124,2794
10345,8
11574,273
1923,8
208,2319
9307,4574
3840,126
8252,7
11110,273
13149,48
12916,301
13504,33
13580,462
17298,121
13386,13
1606,0
8130,10
16230,382
13206,168
6014,36
437,135
11404,598
7412,1274
13148,127
17938,480
1038,927
13775,2
930,8
15706,93
660,225
6506,313
18476,5
10493,1272
17038,361
9276,19
4286,70
9622,3
11788,387
18110,13
19670,884
19266,1298
12166,0
14092,38
6779,1581
18745,77
9649,48
19125,178
1408,1
5666,16
2984,35
204,90
12378,131
11222,325
3592,105
9344,977
8906,1230
19666,265
3064,128
15178,22
13807,81
15206,2276
8202,37
10456,19
2896,5669
19555,515
8209,775
2692,530
17596,215
17582,38
4145,3266
1058,803
3492,57
3070,5
4721,1943
4904,349
4249,520
902,3952
2362,76
8727,1202
9573,4
15804,4
15796,5017
5475,151
11068,8
7830,51
6857,432
2202,548
13644,240
8936,102
9344,29
18254,310
15413,857
11148,7
14650,3
1688,1571
19488,4
8108,87
12580,381
8526,6385
9444,484
19780,1275
16016,96
12274,1427
3343,5735
10644,68
1583,240
15898,76
520,601
11204,28
10526,32
12288,1071
6532,8
9974,6555
1320,32
11639,1204
16866,473
11234,6766
3057,81
19260,357
2455,496
4254,0
19407,3842
12557,718
6586,1052
895,1882
15394,1
13138,263
18662,154
2456,3248
8346,194
2797,433
5106,29
13946,456
19662,282
18675,202
6271,31
16087,7460
1010,5453
9344,736
14341,266
12024,860
17610,1744
11422,253
15996,1
3997,752
12284,5
316,657
4459,491
14852,41
10808,38
1722,93
3095,349
9691,505
6576,1781
6364,32
16793,8
6350,247
2818,154
12496,38
11552,20
8862,61
4876,4248
18541,81
4944,923
16670,337
3156,51
16476,0
1792,161
6259,40
12712,749
12848,1861
4459,55
9857,19
4115,675
12326,56
468,8
1690,1255
17662,3795
5134,2
9126,336
13550,43
11338,414
9466,6490
1740,13
5973,1
9664,4590
4112,122
9450,599
7401,56
16020,1838
9330,1
8627,40
12651,3655
10992,6697
282,118
7348,2484
11927,8
2870,133
13574,533
14673,31
18182,313
12266,1748
5160,70
18244,2
8126,1287
982,834
13933,77
9890,3561
14600,7254
8508,67
6152,72
10312,392
3519,30
19706,198
13292,1430
3691,2413
1772,66
13183,43
11612,4
14796,1
10510,560
10133,3200
4617,687
10775,1532
14782,116
18885,331
18906,602
832,3181
15010,203
4257,200
19262,2623
6595,4390
10130,178
14326,166
805,702
3089,627
6750,250
11678,58
4544,2804
11648,121
12310,261
2692,112
6872,100
8312,0
11836,633
17939,1
7217,1028
15926,190
968,227
11806,833
9974,119
7994,852
11421,253
19266,543
15047,2587
16680,22
352,1560
2260,1
4930,3371
670,22
12568,2478
16472,152
10066,489
18185,274
3599,19
15365,23
460,22
5184,1409
16792,7550
18721,3
15330,3
2467,2387
798,773
16946,19
4798,4
1229,31
473,470
1111,31
906,490
4588,0
8736,1070
10898,79
16148,1492
18653,874
11271,658
12226,1
14605,796
4684,1002
2818,17
5712,36
18282,490
2278,33
11946,19
5954,97
17990,5182
3170,375
5569,5
13399,192
18857,31
12174,3
111,3859
8984,310
10892,279
13678,9
5128,4
9274,155
5190,710
5266,238
11235,577
18644,416
19730,231
4909,2066
9082,2916
3192,1
18496,151
2306,2330
13354,101
19112,2061
7927,963
17323,33
7438,546
3996,1497
3966,2779
8088,19
1038,324
10274,158
9786,899
13984,1990
3616,5764
10345,19
12324,1
4777,903
15816,173
6512,2
6606,1120
18936,265
7438,158
14278,33
14248,84
13316,396
10454,232
18037,1873
13286,46
3653,2751
4789,239
4330,644
10072,40
11890,611
9968,73
2411,194
15629,1936
452,496
8427,6369
16720,1231
18322,126
5443,15
5572,425
2094,164
9356,7
15843,1
12226,1975
7920,27
14905,7296
12006,951
5868,6039
3544,0
16066,59
19046,3825
10462,4635
5864,174
10604,1
11743,136
18810,3105
4580,1221
14280,1
18422,81
1451,9
42,57
2538,116
10907,48
3842,780
8994,260
14764,2038
15135,257
550,51
12980,86
18682,0
16523,1570
4612,337
2391,407
2382,1594
3970,27
13392,13
16057,3753
6757,3
15796,1239
3444,76
4275,1402
13680,264
12898,205
19294,37
11845,1762
13458,43
14965,7310
19160,9
19213,1
10568,76
4744,1942
4306,27
16165,573
17265,399
2808,627
13713,8
1100,1464
2120,2377
4016,129
5190,377
5589,772
5672,8
16296,563
569,5396
15754,3
16793,3389
8741,196
17024,635
13638,93
17854,3
14663,507
16286,61
2252,5592
5330,7
3857,4181
15926,68
17262,5126
7994,554
11730,786
16786,437
17753,5160
3820,5800
16348,1393
17076,822
7883,222
8740,19
12496,511
14315,8
17820,5169
7516,1065
3380,509
7009,325
19502,279
15692,40
3343,1612
6146,102
7711,1193
5222,746
9366,5
13954,0
10536,1747
1418,20
19656,82
13761,2570
11984,238
5224,986
8984,4554
13451,6
18398,920
15419,2042
16991,488
17353,43
437,747
17030,635
8931,1092
9118,108
13929,2574
204,2637
11404,1677
1421,998
17126,419
15791,136
4962,76
5974,61
13189,0
1356,61
15150,0
16648,3772
12200,4784
12176,717
17352,508
19262,39
8464,2732
9502,1
9117,61
7118,302
18687,309
2304,125
17042,3781
3509,1303
16978,7579
15946,12
16878,2529
5707,1
16693,127
13448,7067
19555,47
14956,763
7656,62
27,2065
18419,3
5894,4333
9638,13
6159,133
18932,241
16104,1722
15343,58
10273,661
11285,1812
4758,183
1226,36
8683,66
12244,319
11997,1
3844,1004
10992,922
13688,3692
6940,13
10242,539
18404,139
9575,2516
12636,74
490,1702
15550,4989
7903,465
1838,1
2895,1117
15821,253
12822,42
3628,873
12384,2
2247,2
18182,1541
7884,2
13638,200
2844,112
8342,140
2226,827
12696,3653
19748,241
10552,24
4871,432
18708,6
17531,2728
190,1697
208,5328
2834,461
9010,301
7846,93
9056,83
11634,4741
5894,163
17733,1017
19106,0
13005,295
13606,7095
11123,1197
6520,1
10880,2537
12643,634
1105,155
11496,101
11867,22
7859,19
16688,324
4724,3362
12958,118
3854,27
5424,4288
2226,383
6994,168
7155,1642
13223,86
19462,143
682,158
14960,112
15703,3051
7180,76
13702,0
15981,5
820,0
2818,10
16698,7
7251,33
8781,3
13470,7075
15012,5
13056,1683
5792,208
12712,381
19110,23
9530,362
11804,6861
13848,74
16683,135
1042,227
7160,764
8651,0
9700,13
15956,10
12734,1240
970,41
1032,36
6807,6174
2836,30
9420,19
10336,1797
14408,477
1766,2700
5769,595
2266,57
11484,169
12696,2233
18704,246
410,2078
18434,3
7392,2871
2120,1273
17220,1245
11393,8
7876,1004
9010,28
3846,13
19482,199
1050,76
8818,1793
15801,28
6778,224
9306,2358
16476,899
4766,107
17193,61
19262,3114
2982,5687
16925,622
6027,76
10725,2242
6155,550
9691,1117
18907,93
16337,220
12251,6930
546,1
3499,1917
5072,1
8082,144
10552,931
12568,67
15578,200
3104,63
11462,1231
3346,404
15866,335
2654,65
17608,2754
13764,8
12408,497
1968,3
3982,57
8618,473
12288,241
8657,117
10652,2241
16400,180
5194,5957
16070,1543
7564,0
12222,67
16780,295
19022,402
19172,27
18310,2777
1953,147
7379,3
4636,70
13654,277
15871,897
15956,473
5286,8
1830,458
2140,3
3189,8
4857,282
8994,481
5138,19
16788,8
15605,102
8720,6414
7862,414
8774,996
5181,0
17460,1181
16471,0
19355,2309
8085,38
9002,54
10799,304
13437,2234
18960,615
15184,1168
18923,43
834,2345
235,8
12600,2993
11938,1237
4698,1279
15290,8
818,9
10960,723
16221,79
11884,136
11810,1255
11317,1337
17360,43
4836,1764
18404,365
473,2657
10040,11
12054,1
3681,2145
14747,573
18693,874
17640,1
17260,2054
9698,2
19407,425
7718,2099
8531,31
10492,37
10776,2942
7955,51
15797,59
13358,0
9950,2771
2398,50
18934,2655
8274,150
137,270
13667,1036
19260,995
15326,2283
1962,5560
13424,539
14537,541
15692,5
11906,588
19670,3122
6298,70
4020,217
7875,1155
18389,53
10596,392
11502,4
13629,1097
6392,4
7494,3
12884,1024
9666,2467
12646,571
8293,253
13508,105
14750,2037
5230,36
14128,86
10332,916
9383,575
13929,2577
492,138
19684,82
13546,454
18004,33
8161,81
8034,705
14880,3428
18964,402
14990,573
17015,2553
4938,17
16968,0
18848,2087
880,1
13644,93
19512,1
17129,19
17408,1672
3058,2132
18864,1229
1541,3
2732,65
14152,4256
4478,8
10222,70
11210,693
13710,3
15286,33
17298,3083
353,97
748,5411
7988,602
4311,361
2398,3243
12637,56
14134,7165
16800,62
18747,3
700,184
4292,106
5327,2
1832,161
12807,571
16382,169
1834,595
16967,1447
15356,3
19380,2625
3267,8
6891,1152
1684,1893
1108,5467
17170,42
3695,57
1837,3225
13871,0
12148,94
11825,85
16991,3779
1390,604
14838,919
20,2
18063,106
19178,249
11762,19
16458,93
11220,1563
19636,1114
8956,3517
8820,0
4826,232
208,0
10238,880
5861,0
16487,43
11422,1677
7847,553
15952,12
8702,460
11816,1464
16429,1006
334,1102
11340,105
13748,867
15900,10
6202,3
8528,61
18917,696
6188,50
16474,523
13692,0
1204,122
4849,709
16160,278
14864,41
3248,670
3762,24
9445,2924
5160,959
624,5404
17706,3791
1247,53
4122,38
14884,139
18183,2612
16104,1038
11287,22
18634,19
15135,26
