a_id,o_id
146,152
478,93
17,1881
9,2116
125,1176
1764,127
37,66
994,423
136,365
2085,818
97,2116
2,362
1156,4857
22,216
77,1187
0,4494
10,1132
3,253
362,5943
26,6
274,6068
2111,101
206,4814
2079,7007
230,8
110,594
40,2504
161,2204
253,2318
109,1046
206,80
89,4802
1015,635
2221,7818
2,530
560,8
1,4910
32,3665
765,449
5,4762
721,27
6,453
1123,4536
230,1523
693,149
181,929
19,43
5,4
1273,1392
565,124
217,998
791,526
1683,448
94,335
502,48
36,588
25,3745
22,555
370,1438
428,1302
47,76
250,56
141,8
413,1827
238,1140
8,3515
383,117
57,3450
1,3302
378,3562
221,1904
36,0
1712,875
6,680
838,149
1,296
532,4207
743,8
30,1377
312,1842
81,907
7,423
390,309
399,521
92,13
103,399
5,4171
933,1874
236,2584
43,480
149,163
172,4
839,3664
52,1618
384,28
10,74
427,2690
33,315
215,23
255,4355
1153,1
498,184
13,1063
20,261
6,304
1094,1747
126,1071
234,785
204,121
140,2533
142,2415
86,125
19,180
132,125
5,393
284,80
194,466
203,0
41,1617
149,1051
254,4244
50,260
43,1237
11,6290
155,2327
17,230
244,4409
10,889
28,482
30,1040
16,7758
23,185
46,10
16,41
1213,5411
116,5445
103,124
1482,93
624,301
73,57
33,7490
66,1234
109,1468
457,2079
153,482
10,445
5,1766
7,24
194,545
6,5972
0,490
23,1030
50,652
21,4949
737,462
1,2180
6,99
135,261
17,7278
254,2299
164,1402
0,2507
95,662
5,186
512,2
821,56
346,984
9,8
318,2
94,485
255,1177
20,392
13,577
38,28
123,388
199,43
919,2054
153,759
83,2886
22,4539
37,1965
1,4348
101,1366
175,51
11,3122
383,6464
145,4
94,33
100,3022
719,2187
120,5848
866,57
257,3335
250,338
70,73
400,101
3,128
162,547
76,1004
11,923
103,241
84,2959
96,1
988,8
1,50
347,1968
584,133
12,406
56,606
0,1562
208,361
0,101
420,1110
37,1370
11,295
267,945
1,2065
6,1605
100,28
232,1784
17,576
5,47
52,3558
724,1061
300,2013
895,1312
434,1579
18,1622
569,205
94,336
260,2
1627,2
82,1204
247,5834
75,5
591,1109
11,7164
354,84
407,194
123,273
1135,392
1626,121
28,260
770,1281
92,1155
701,43
23,3
11,3247
41,800
2,7009
73,151
22,72
211,1
26,7014
875,38
912,44
142,1981
70,196
2037,340
1,451
4,5258
40,375
0,3534
37,2289
105,2147
45,7833
20,4256
181,6462
238,1941
291,6
58,263
28,1107
305,2546
14,1514
27,2900
90,660
71,827
140,752
2,1445
242,2078
110,450
65,4446
132,7987
54,5
1396,0
93,545
1068,2751
3,713
18,4210
10,87
7,2461
1400,178
0,240
105,7876
170,179
80,61
1754,547
383,4123
13,679
974,1558
190,1
1111,3467
296,500
42,24
351,22
270,8
58,1042
136,44
2083,1
431,127
108,408
71,36
244,744
1035,5386
36,732
165,48
1,668
1375,2
614,752
909,2
805,241
60,40
263,1669
59,7652
151,5580
16,462
79,3589
219,713
5,3746
297,571
64,474
13,303
417,686
95,7124
33,1218
12,2005
1,344
7,1618
1296,76
482,1338
1584,703
950,141
113,1418
0,271
142,5778
64,902
11,129
1,2239
114,135
1036,356
189,5796
25,6019
104,0
1,5198
16,7510
0,843
9,19
214,52
13,1463
13,604
158,1567
52,6
1,1472
43,1433
2025,6746
701,7580
279,3217
17,298
434,7854
1474,0
51,247
53,525
559,4890
293,30
13,7638
1109,372
23,357
298,1672
67,1101
253,7254
41,94
4,342
320,3
50,404
883,6664
202,43
0,4568
140,3001
121,89
112,6720
1,617
130,399
116,292
7,1795
139,423
1635,3
37,460
406,147
83,2
46,122
16,185
375,5638
2,996
41,538
321,6453
726,1143
1011,1635
31,0
561,61
409,824
907,9
155,1324
215,212
21,395
1181,739
485,2434
7,168
0,410
630,4391
79,4647
34,121
232,34
158,206
3,1087
95,1357
176,3673
469,1836
1,7550
104,139
392,2549
180,32
21,3300
930,3160
599,359
5,4868
1694,14
4,901
223,19
89,27
387,2544
136,3596
1353,7881
5,654
268,368
434,72
286,1273
191,804
2,311
41,203
69,4033
87,1304
50,11
54,1175
22,173
179,1326
220,238
425,582
7,2036
194,1376
83,143
233,286
81,2094
15,5850
689,19
19,4156
343,310
2,1502
135,74
659,2528
202,1033
77,247
1067,4104
266,6
71,2865
7,797
67,78
11,2058
567,357
0,21
45,4930
60,925
16,1115
20,335
2094,168
1650,557
61,662
137,126
18,4819
56,10
24,3348
259,687
1319,18
1018,7518
355,135
32,98
1339,801
102,4808
4,8
27,185
89,480
142,154
1,1066
1170,480
25,4305
363,158
326,38
169,489
5,627
31,2267
501,4
263,3391
178,105
72,764
69,209
2,138
11,728
140,60
50,190
22,56
230,1867
1,371
108,4599
192,450
328,2
2,2155
448,1479
7,466
120,164
40,7645
5,3841
78,29
11,100
276,0
91,3
8,589
436,3254
89,3922
928,558
176,259
238,65
53,1695
646,88
30,461
233,711
0,864
39,1
99,746
25,723
1233,23
20,466
347,2204
1115,23
407,259
264,19
665,3561
42,168
5,292
176,1258
7,1370
213,3061
0,684
97,616
99,166
108,40
4,371
207,404
1166,953
11,1417
1120,1255
140,371
50,497
126,604
13,2400
10,1215
43,3813
2239,2308
1271,861
37,4018
1749,7882
72,615
314,684
1169,38
92,489
76,934
2,1
221,139
475,403
576,422
35,3635
11,853
36,224
96,91
792,1298
931,2337
9,4848
755,889
67,5138
49,196
33,735
56,680
1220,292
453,5267
0,447
282,7110
198,925
493,335
1,1716
8,760
7,2214
33,27
228,4795
5,213
49,1069
17,2523
360,826
259,5919
466,6206
329,623
405,1858
6,1215
18,5437
711,170
95,129
1146,1365
501,218
24,3013
23,469
122,400
286,889
1962,28
34,7386
2,336
118,6105
373,1
68,2029
6,763
197,100
90,6112
153,198
10,601
49,437
0,1891
2,2353
604,336
3,5133
168,404
316,1832
589,3292
16,3103
0,5044
135,97
68,4
1,69
24,482
319,149
9,3098
81,32
2,1087
848,477
4,721
59,1414
447,1595
119,270
13,2818
100,201
114,2609
143,1899
5,90
425,350
85,2616
609,1506
0,630
81,1865
335,6295
99,0
71,94
4,21
2,6342
558,4191
52,825
271,473
6,1066
227,309
10,1301
250,126
384,1886
245,185
158,2668
70,2312
59,4885
454,2883
452,756
712,1125
1,3116
652,301
11,703
103,13
5,6093
18,7313
6,630
2,7569
3,416
0,3475
7,489
74,7530
1141,252
94,3485
78,6
25,186
371,56
85,874
8,5959
987,1982
89,7171
6,178
1674,4145
26,6519
539,2790
1638,286
296,1266
10,0
17,804
1338,82
13,4387
49,1419
798,72
101,2190
180,487
0,133
673,162
659,371
18,281
5,4677
13,1133
165,3890
158,453
15,68
20,1874
41,2085
4,2239
78,3380
294,5
61,774
63,328
23,6730
123,53
132,55
706,76
31,2583
7,1393
9,2296
14,55
77,5973
5,2980
493,2072
57,2276
183,4189
106,659
27,2508
315,6905
41,4
25,1935
1399,1
27,41
2163,51
112,159
1,1114
65,2131
70,24
69,5015
113,2415
5,899
237,4630
88,327
24,4278
16,115
420,1569
2,58
2138,0
177,0
59,36
12,293
1317,1972
72,8
381,2
88,1667
448,1143
141,1068
233,27
32,1114
4,1040
48,480
862,1497
915,938
20,14
223,513
352,1622
6,41
135,335
488,118
639,7889
6,1684
8,733
358,1007
144,1421
56,201
24,3667
5,240
208,4
2155,41
194,43
775,1905
60,640
597,487
27,1821
3,4248
5,5066
255,2899
22,1040
66,128
13,903
1,1387
43,1484
418,2513
69,5731
370,1546
926,1409
137,1915
464,2431
12,1197
863,26
386,650
51,10
35,689
68,4796
327,2014
4,259
11,537
156,710
37,4925
71,6825
255,8
294,636
69,5287
338,324
174,38
483,1461
70,151
1,444
109,691
191,4500
40,454
958,1138
5,776
26,25
1075,30
450,1225
35,205
24,2470
16,238
41,589
13,1551
2019,757
149,63
520,701
35,4723
133,1498
421,826
31,447
1098,2466
83,4447
114,4003
42,1200
33,335
215,163
67,2591
314,336
263,361
289,2370
51,799
323,2
30,12
3,5612
99,555
1314,128
470,198
20,145
707,57
444,1073
269,1742
8,328
533,1742
19,72
26,884
5,101
1270,5910
228,2222
14,205
141,2058
18,3
133,338
857,0
454,6626
78,3598
403,2912
90,4345
151,146
946,201
1264,340
14,265
64,3395
74,28
44,692
27,831
1189,125
7,3262
1,265
220,187
204,3856
93,931
61,1913
24,598
118,542
7,1571
25,5552
49,5
72,866
45,5188
1259,23
0,382
55,408
161,1965
36,507
33,7186
7,3586
113,5642
1391,321
238,399
185,1
9,1543
164,905
0,186
470,93
403,404
30,5766
32,2198
66,38
449,470
4,2244
3,1247
1195,38
19,213
14,88
23,282
41,1714
8,5156
449,2485
99,1549
43,585
857,909
126,522
737,615
596,302
1133,1
796,2500
1,730
22,2540
3,116
5,942
218,5515
724,1702
6,4236
127,53
164,1
74,131
805,183
224,380
23,222
16,8
2,87
1,3164
45,2751
811,3428
59,27
790,23
8,7990
54,786
310,392
3,560
50,5758
335,1007
234,2498
127,585
37,849
480,274
7,121
300,5
135,4636
293,860
76,604
461,22
1019,596
45,2051
20,107
186,351
1,2277
317,1155
105,133
1,1858
238,26
140,5035
5,155
551,128
99,321
9,41
341,132
260,126
133,136
213,43
25,4533
69,7395
386,679
391,6229
235,973
94,0
1521,259
326,198
808,65
19,794
21,1384
26,2
231,127
639,66
53,1031
240,530
150,227
46,432
55,34
102,5779
827,58
96,32
495,152
6,893
15,961
1,19
90,5226
12,437
390,2707
112,7665
19,1651
21,449
5,1612
2,2955
252,2485
1202,3135
5,2081
219,72
498,1
1174,5049
2,1141
20,254
56,3459
45,1629
329,902
1341,1797
26,7873
17,545
5,0
10,6762
62,194
26,4171
41,325
43,1372
520,437
1366,100
31,695
1693,5
3,4014
5,708
752,29
814,277
2,253
78,1552
22,107
140,2806
256,4279
3,362
8,1088
155,1575
19,1344
26,1644
23,1417
36,448
172,0
262,134
74,4714
2117,651
45,270
24,55
3,806
63,894
10,118
0,2420
1210,5399
21,342
712,4620
367,212
835,126
4,7803
67,8
32,1861
361,4403
613,61
959,1
85,500
13,1059
4,654
1371,126
100,2307
114,503
24,2035
100,166
89,2559
743,1164
731,6160
5,501
28,58
1688,74
166,136
415,635
4,194
297,88
12,4842
1,1040
2026,1094
331,297
310,3098
638,2518
70,982
3,27
8,1679
70,2493
19,1041
16,7746
1218,3969
79,2177
5,1070
85,3692
468,356
16,45
862,364
2,112
4,1542
1,3191
122,1815
433,84
1,2780
43,1685
6,539
513,405
1,185
24,710
780,133
21,39
7,20
0,494
29,5204
208,2141
537,57
2,692
679,3006
1814,28
184,1770
20,80
1,2200
589,198
22,3145
19,3564
112,7911
93,1148
238,127
5,166
17,2356
194,225
268,856
1303,1152
436,38
0,810
150,1372
23,1990
1137,3012
276,638
32,2822
66,86
135,1989
43,1414
114,362
174,560
8,2046
31,3010
719,6921
1183,665
468,43
2,387
131,61
13,1
1530,28
444,131
709,665
660,1167
143,2767
10,744
1250,30
1925,6232
295,1061
689,135
126,86
96,5
54,2599
782,5088
98,1007
45,180
1,54
310,56
24,337
10,300
7,2340
503,1365
0,1566
44,3
16,612
0,121
256,19
99,533
394,161
507,296
34,920
105,1976
200,400
313,87
4,544
117,1241
564,536
603,50
566,186
33,193
56,158
1006,28
312,8
18,4079
4,8017
30,758
169,2174
39,380
189,335
32,502
124,1892
18,57
4,100
774,1664
578,1
193,37
75,57
47,183
31,722
213,155
88,6864
1617,2650
203,298
1109,154
509,3293
183,4477
106,947
32,946
200,1256
2,278
1948,1
